txn_id,scenario_id,date,account_id,counterparty,description,amount,currency,amount_usd,recovered,fx_rate,evidence,problems
TXN-P1-0007,P1,2025-01-02,ACC-7801,Hartley Building Services Holdings (Turkistan point),Plant and boiler insurance premium — Taraz site 2025,-11065870.19,USD,-11065870.19,0,,,
TXN-P4-0056,P4,2025-01-02,ACC-7804,Cedarville Payroll LP,Revolver interest — November,-2019970.78,USD,-2019970.78,0,,,
TXN-P6-0016,P6,2025-01-02,ACC-7806,Glenwood Facilities Holdings (Oskemen unit),Corporate income tax instalment — Kostanay centre,-440014.44,USD,-440014.44,0,,,
TXN-P8-0007,P8,2025-01-02,ACC-7808,Ashford Water Works Group JSC (Turkistan point),Marketing co-operative funding received — Astana branch 2025,6830284.13,USD,6830284.13,0,,,
TXN-P1-0012,P1,2025-01-03,ACC-7801,Ironwood Power Trust Enterprise (Karaganda yard),Payroll for laboratory staff — April 2025,-1604249.66,USD,-1604249.66,0,,,
TXN-P6-0005,P6,2025-01-03,ACC-7806,Glenwood Property Trust,Franchise tax filing,-4810458.99,USD,-4810458.99,0,,,
TXN-P6-0020,P6,2025-01-03,ACC-7806,Foxridge Power LLC Ltd (Kyzylorda station),"Rent for spare parts store — Astana branch, instalment 1 2025",-8599812.02,USD,-8599812.02,0,,,
TXN-P8-0001,P8,2025-01-03,ACC-7808,Eastgate Water Works Ltd Company,Rent for spare parts store — Zhezkazgan compound 2025,-1435608.42,USD,-1435608.42,0,,,
TXN-B1-0019,B1,2025-01-04,ACC-7201,Ashford Office Supplies LLC,Sponsorship marketing of regional sports club — Astana branch,-212472.44,USD,-212472.44,0,,,
TXN-B1-0034,B1,2025-01-04,ACC-7201,Foxridge Stationery (Almaty office),Corporate income tax instalment — Kostanay centre,-7012825.84,USD,-7012825.84,0,,,
TXN-P7-0022,P7,2025-01-06,ACC-7807,Ironwood Insurance LLC (Taraz site),"Insurance broker rebate — Semey base, H1",1516471.55,USD,1516471.55,0,,,
TXN-B1-0048,B1,2025-01-07,ACC-7201,Bridgeport Leasing LLC (Uralsk annex),"Equipment yard lease — Pavlodar block, Q4 2025",-5414655.83,USD,-5414655.83,0,,,
TXN-P7-0044,P7,2025-01-07,ACC-7807,Juniper Tax Advisory LLC Trading House,Printed marketing collateral run — Zhezkazgan compound,-9477411.59,USD,-9477411.59,0,,,
TXN-B1-0027,B1,2025-01-09,ACC-7201,Cedarville Facilities,Excise tax credit received — instalment 3 2025,1751470.75,USD,1751470.75,0,,,
TXN-B4-0039,B4,2025-01-09,ACC-7204,Juniper Printing Inc Trading House (Turkistan point),"Interest credited on current account — Zhezkazgan compound, final call 2025",12367740.28,USD,12367740.28,0,,,
TXN-P10-0062,P10,2025-01-09,ACC-7810,Cedarville Tax Advisory Partners Trading House (Kyzylorda station),"Interest recovery on overpayment — Pavlodar block, instalment 3 2025",220304.84,USD,220304.84,0,,,
TXN-P2-0006,P2,2025-01-09,ACC-7802,Bridgeport Power Corp (Semey base),Property tax payment — Oskemen unit,-2125991.67,USD,-2125991.67,0,,,
TXN-P2-0017,P2,2025-01-09,ACC-7802,Dunmore Realty (Kyzylorda station),"Printed marketing collateral run — Uralsk annex, January 2025",-3249662.49,USD,-3249662.49,0,,,
TXN-P3-0053,P3,2025-01-09,ACC-7803,Dunmore Facilities Associates Trading House,"Rent free period credit — Turkistan point, June",1209157.56,USD,1209157.56,0,,,
TXN-B1-0056,B1,2025-01-10,ACC-7201,Ironwood Realty Services (Karaganda yard),Rent for training centre 2025,-417312.75,USD,-417312.75,0,,,
TXN-P10-0004,P10,2025-01-10,ACC-7810,Eastgate Maintenance Solutions,Product launch ad campaign,-174400.39,USD,-174400.39,0,,,
TXN-P5-0033,P5,2025-01-10,ACC-7805,Ashford Uniforms Associates (Shymkent depot),Marketing research panel subscription — Oskemen unit,-1870958.07,USD,-1870958.07,0,,,
TXN-P9-0011,P9,2025-01-10,ACC-7809,Bridgeport Courier Solutions (Ekibastuz block B),Office rent — instalment 3 2025,-238906.18,USD,-238906.18,0,,,
TXN-P1-0002,P1,2025-01-11,ACC-7801,Foxridge Tax Advisory Corp (Semey base),"Telecom leased line — Kostanay centre, February 2025",-1474435.73,USD,-1474435.73,0,,,
TXN-P1-0032,P1,2025-01-12,ACC-7801,Eastgate Janitorial Partners (Ekibastuz block B),"Default interest charge — Almaty office, instalment 1 2025",-654151.88,USD,-654151.88,0,,,
TXN-P5-0048,P5,2025-01-12,ACC-7805,Cedarville Uniforms Solutions Service Centre (Oskemen unit),Antenna mast lease — Kostanay centre,-634250.84,USD,-634250.84,0,,,
TXN-P5-0054,P5,2025-01-12,ACC-7805,Ashford Maintenance LLC (Zhezkazgan compound),Marketing volume rebate — March 2025,7045005.71,USD,7045005.71,0,,,
TXN-P10-0008,P10,2025-01-13,ACC-7810,Bridgeport Office Supplies (Semey base),Marketing photography and artwork 2025,-266501.58,USD,-266501.58,0,,,
TXN-P3-0041,P3,2025-01-13,ACC-7803,Dunmore Utility Inc,Group insurance experience refund — Oskemen unit,1064153.42,USD,1064153.42,0,,,
TXN-P4-0013,P4,2025-01-14,ACC-7804,Cedarville Uniforms Solutions,Outdoor marketing site hire — Kyzylorda station,-6073547.09,USD,-6073547.09,0,,,
TXN-P7-0026,P7,2025-01-16,ACC-7807,Juniper Landscaping LLC (Aktobe hub),Vehicle livery marketing application — period 03,-824986.91,USD,-824986.91,0,,,
TXN-P3-0023,P3,2025-01-17,ACC-7803,Ashford Cleaning Services LLP (Almaty office),"Seasonal payroll run — Taraz site, June 2025",-10504386.24,USD,-10504386.24,0,,,
TXN-P8-0012,P8,2025-01-17,ACC-7808,Sentinel Insurance Group (Aktobe hub),"Interest credited on current account — Semey base, February",2667830.89,USD,2667830.89,0,,,
TXN-B4-0016,B4,2025-01-20,ACC-7204,Ironwood Power Trust (Ekibastuz block B),"District heating utility charge — Shymkent depot, H2 2025",-10042101.92,USD,-10042101.92,0,,,
TXN-P5-0026,P5,2025-01-21,ACC-7805,Bridgeport Supply LP,Water charge adjustment credit 2025,1481878.83,USD,1481878.83,0,,,
TXN-P4-0018,P4,2025-01-22,ACC-7804,Juniper Uniforms Co LLP,"Warehouse lease — Semey base, June 2025",-2356896.7,USD,-2356896.7,0,,,
TXN-P4-0038,P4,2025-01-22,ACC-7804,Kingsley Water Works Solutions (Taraz site),Telecom service credit received — Taraz site 2025,459637.57,USD,459637.57,0,,,
TXN-P5-0007,P5,2025-01-22,ACC-7805,Bridgeport Janitorial Solutions (Ekibastuz block B),"Electricity metering correction credit — Taraz site, period 01",1571727.86,USD,1571727.86,0,,,
TXN-P9-0015,P9,2025-01-25,ACC-7809,Cedarville Janitorial Holdings Group,VAT instalment — Uralsk annex 2025,-2357671.23,USD,-2357671.23,0,,,
TXN-B1-0046,B1,2025-01-26,ACC-7201,Hartley Landscaping Ltd JSC (Pavlodar block),"Vehicle livery marketing application — Pavlodar block, September",-462598.24,USD,-462598.24,0,,,
TXN-P4-0029,P4,2025-01-26,ACC-7804,Glenwood Uniforms Group (Kostanay centre),Depot yard rent — July 2025,-2540625.5,USD,-2540625.5,0,,,
TXN-B1-0049,B1,2025-01-28,ACC-7201,Glenwood Telecom Corp (Kyzylorda station),Marine cargo insurance premium — Aktobe hub,-6840662.36,USD,-6840662.36,0,,,
TXN-P1-0037,P1,2025-01-28,ACC-7801,Ashford Property Co (Taraz site),"Interest on trade facility — Atyrau terminal, November 2025",-6453942.7,USD,-6453942.7,0,,,
TXN-P6-0045,P6,2025-01-28,ACC-7806,Kingsley Water Works Solutions,Business interruption insurance,-466225.78,USD,-466225.78,0,,,
TXN-B1-0054,B1,2025-01-29,ACC-7201,Hartley Catering LP Supply,Environmental liability insurance — Pavlodar block,-1099515.55,USD,-1099515.55,0,,,
TXN-P1-0026,P1,2025-01-29,ACC-7801,Foxridge Stationery (Zhezkazgan compound),Standby generator electricity — Pavlodar block,-1585834.81,USD,-1585834.81,0,,,
TXN-P10-0038,P10,2025-01-29,ACC-7810,Cedarville Printing Services (Ekibastuz block B),"Interest on bridge facility — Oskemen unit, Q4 2025",-1214344.92,USD,-1214344.92,0,,,
TXN-P2-0019,P2,2025-01-30,ACC-7802,Eastgate Office Supplies Solutions,"Overdraft interest — Kyzylorda station, September 2025",-1143345.59,USD,-1143345.59,0,,,
TXN-B1-0015,B1,2025-01-31,ACC-7201,Bridgeport Office Supplies LLP (Semey base),Motor third-party insurance — February,-6029826.75,USD,-6029826.75,0,,,
TXN-P3-0045,P3,2025-01-31,ACC-7803,Cedarville Leasing (Karaganda yard),Utility metering charge — Oskemen unit,-5075771.04,USD,-5075771.04,0,,,
TXN-P4-0031,P4,2025-02-02,ACC-7804,Eastgate Office Supplies Solutions Partners,Marketing research panel subscription — period 04 2025,-716503.49,USD,-716503.49,0,,,
TXN-P6-0033,P6,2025-02-02,ACC-7806,Foxridge Property Associates,"Insurance premium refund — Taraz site, instalment 2",6005234.9,USD,6005234.9,0,,,
TXN-P8-0004,P8,2025-02-02,ACC-7808,Trident Power Cooperative (Uralsk annex),"Telecom services — Zhezkazgan compound, Q3",-520395.97,USD,-520395.97,0,,,
TXN-P9-0023,P9,2025-02-02,ACC-7809,Ironwood Cleaning LLC Works (Karaganda yard),"Travel insurance for staff — Turkistan point, instalment 3",-7888458.51,USD,-7888458.51,0,,,
